Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
14996110,Brother Nature,Jim Crumley,"Crumley, Jim",,1904445349,9781900000000.0,0,4.75,Whittles Publishing,Hardcover,176.0,2007.0,2007.0,2021-01-01,2023-01-18,to-read,to-read (#153),to-read,False,False,False,0,0
39928617,Kingfisher,Jim Crumley,"Crumley, Jim",,191223503X,9781910000000.0,0,4.23,Saraband,Hardcover,64.0,2018.0,2007.0,2021-01-01,2023-01-18,to-read,to-read (#152),to-read,False,False,False,0,0
30361192,Swan (Encounters In The Wild),Jim Crumley,"Crumley, Jim",,1910192120,9781910000000.0,0,4.38,Saraband,Hardcover,64.0,2015.0,2007.0,2021-01-01,2023-01-18,to-read,to-read (#151),to-read,False,False,False,0,0
43358096,Otter (Encounters in the Wild),Jim Crumley,"Crumley, Jim",,1912235048,9781910000000.0,0,4.36,Saraband,Hardcover,64.0,2018.0,2007.0,2021-01-01,2023-01-18,to-read,to-read (#150),to-read,False,False,False,0,0
2356946,A High and Lonely Place,Jim Crumley,"Crumley, Jim",,1870325680,9781870000000.0,0,4.0,Whittles Publishing,Paperback,164.0,2001.0,1992.0,2021-01-01,2023-01-18,to-read,to-read (#149),to-read,False,False,False,0,0
30040015,Hare (Encounters in the Wild),Jim Crumley,"Crumley, Jim",,1910192139,9781910000000.0,0,4.12,Saraband,Hardcover,62.0,2015.0,2007.0,2021-01-01,2023-01-18,to-read,to-read (#148),to-read,False,False,False,0,0
36517358,Badger (Encounters in the Wild),Jim Crumley,"Crumley, Jim",,1910192627,9781910000000.0,0,4.45,Saraband,Hardcover,64.0,2016.0,2007.0,2021-01-01,2023-01-18,to-read,to-read (#146),to-read,False,False,False,0,0
8328876,The Winter Whale,Jim Crumley,"Crumley, Jim",,184158732X,9781840000000.0,0,3.52,Birlinn,Paperback,224.0,2008.0,2008.0,2021-01-01,2023-01-18,to-read,to-read (#147),to-read,False,False,False,0,0
25694383,Nature's Architect: The beaver's return to our wild landscapes,Jim Crumley,"Crumley, Jim",,,9781910000000.0,0,3.86,Saraband,Paperback,240.0,2015.0,2015.0,2021-01-01,2023-01-18,to-read,to-read (#145),to-read,False,False,False,0,0
2511233,The Company of Swans,Jim Crumley,"Crumley, Jim",Harry Brockway,1860465587,9781860000000.0,0,4.29,Harvill Pr,Hardcover,48.0,1998.0,1997.0,2021-01-01,2023-01-18,to-read,to-read (#144),to-read,False,False,False,0,0
23464447,Fox (Encounters in the Wild),Jim Crumley,"Crumley, Jim",,1908643757,9781910000000.0,0,4.12,Saraband,Hardcover,64.0,2014.0,2014.0,2021-01-01,2023-01-18,to-read,to-read (#143),to-read,False,False,False,0,0
23464458,Barn Owl (Encounters in the Wild),Jim Crumley,"Crumley, Jim",,1908643749,9781910000000.0,0,4.12,Saraband,Hardcover,64.0,2014.0,2014.0,2021-01-01,2023-01-18,to-read,to-read (#142),to-read,False,False,False,0,0
9758360,The Last Wolf,Jim Crumley,"Crumley, Jim",,1841588474,9781840000000.0,0,3.91,Birlinn,Paperback,235.0,2010.0,2010.0,2021-01-01,2023-01-18,to-read,to-read (#141),to-read,False,False,False,0,0
52893923,The Nature of Summer,Jim Crumley,"Crumley, Jim",,,9781910000000.0,0,4.12,Saraband,Hardcover,240.0,2020.0,2020.0,2021-01-01,2023-01-18,to-read,to-read (#140),to-read,False,False,False,0,0
44462584,The Nature of Spring,Jim Crumley,"Crumley, Jim",,,,0,3.8,Saraband,Kindle Edition,219.0,2019.0,2019.0,2021-01-01,2023-01-18,to-read,to-read (#139),to-read,False,False,False,0,0
30305492,The Nature of Autumn,Jim Crumley,"Crumley, Jim",,1910192465,9781910000000.0,0,3.7,Saraband,Hardcover,248.0,2016.0,2016.0,2021-01-01,2023-01-18,to-read,to-read (#138),to-read,False,False,False,0,0
56075256,The Haunting Season: Ghostly Tales for Long Winter Nights,Bridget Collins,"Collins, Bridget","Natasha Pulley, Imogen Hermes Gowar, Kiran Millwood Hargrave, Andrew Michael Hurley, Jess Kidd, Elizabeth Macneal, Laura  Purcell",751581976,9780750000000.0,0,3.59,Sphere,Hardcover,304.0,2021.0,2021.0,2021-01-01,2023-01-18,to-read,to-read (#136),to-read,False,False,False,0,0
891814,"Fires of Winter (Haardrad Viking Family, #1)",Johanna Lindsey,"Lindsey, Johanna",Robert McGinnis,380757478,9780380000000.0,0,3.97,Avon,Paperback,362.0,1980.0,1980.0,2021-01-01,2023-01-18,to-read,to-read (#135),to-read,False,False,False,0,0
15702859,The Winter Witch,Paula Brackston,"Brackston, Paula",,1250001315,9781250000000.0,0,3.71,Thomas Dunne Books,Hardcover,340.0,2013.0,2013.0,2021-01-01,2023-01-18,to-read,to-read (#134),to-read,False,False,False,0,0
112525,Winter's Bone,Daniel Woodrell,"Woodrell, Daniel",,,,0,3.86,"Little, Brown and Company",Hardcover,193.0,2006.0,2006.0,2021-01-01,2023-01-18,to-read,to-read (#133),to-read,False,False,False,0,0
