Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1054074,Poems Bewitched and Haunted (Everyman's Library Pocket Poets Series),John Hollander,"Hollander, John",,1400043883,9781400000000.00,0,3.9,Everyman's Library,Hardcover,256,2005,2005,,27/09/2023,to-read,to-read (#174),to-read,,,,0,0
11452849,"Berserk, Vol. 35",Kentaro Miura,"Miura, Kentaro",,1595826955,9781600000000.00,5,4.57,Dark Horse Manga,Paperback,216,2011,2010,26/09/2023,26/09/2023,"fantasy, horror-thriller, manga","fantasy (#110), horror-thriller (#43), manga (#52)",read,,,,1,0
8728667,"Berserk, Vol. 34",Kentaro Miura,"Miura, Kentaro",,1595825320,9781600000000.00,5,4.69,Dark Horse,Paperback,240,2010,2009,26/09/2023,26/09/2023,"fantasy, horror-thriller, manga","fantasy (#109), horror-thriller (#42), manga (#51)",read,,,,1,0
7608213,"Berserk, Vol. 33",Kentaro Miura,"Miura, Kentaro",,1595823727,9781600000000.00,4,4.64,Dark Horse Manga,Paperback,232,2010,2008,26/09/2023,26/09/2023,"fantasy, horror-thriller, manga","fantasy (#108), horror-thriller (#41), manga (#50)",read,,,,1,0
7399514,"Berserk, Vol. 32",Kentaro Miura,"Miura, Kentaro",,1595823670,9781600000000.00,5,4.63,Dark Horse Manga,Paperback,232,2009,2007,26/09/2023,26/09/2023,"fantasy, horror-thriller, manga","fantasy (#107), horror-thriller (#40), manga (#49)",read,,,,1,0
1875541,"Berserk, Vol. 31",Kentaro Miura,"Miura, Kentaro",,1595823662,9781600000000.00,5,4.62,Dark Horse,Paperback,208,2009,2006,26/09/2023,26/09/2023,"fantasy, horror-thriller, manga","fantasy (#106), horror-thriller (#39), manga (#48)",read,,,,1,0
6337758,"Berserk, Vol. 30",Kentaro Miura,"Miura, Kentaro",Duane Johnson,1595822119,9781600000000.00,5,4.61,Dark Horse,Paperback,208,2009,2006,26/09/2023,26/09/2023,"fantasy, horror-thriller, manga","fantasy (#105), horror-thriller (#38), manga (#47)",read,,,,1,0
6276142,"Berserk, Vol. 29",Kentaro Miura,"Miura, Kentaro",,1595822100,9781600000000.00,5,4.57,Dark Horse Manga,Paperback,211,2009,2005,25/09/2023,25/09/2023,"fantasy, horror-thriller, manga","fantasy (#104), horror-thriller (#37), manga (#46)",read,,,,1,0
5083854,"Berserk, Vol. 28",Kentaro Miura,"Miura, Kentaro",,1595822097,9781600000000.00,4,4.63,Dark Horse Manga,Paperback,240,2009,2005,25/09/2023,25/09/2023,"fantasy, horror-thriller, manga","fantasy (#103), horror-thriller (#36), manga (#45)",read,,,,1,0
5083852,"Berserk, Vol. 27",Kentaro Miura,"Miura, Kentaro",,1593079230,9781590000000.00,5,4.67,Dark Horse Manga,Paperback,217,2009,2004,24/09/2023,23/09/2023,"fantasy, horror-thriller, manga","fantasy (#102), horror-thriller (#35), manga (#44)",read,,,,1,0
248936,"Berserk, Vol. 26",Kentaro Miura,"Miura, Kentaro",,1593079222,9781590000000.00,5,4.69,Dark Horse,Paperback,224,2008,2003,24/09/2023,23/09/2023,"fantasy, horror-thriller, manga","fantasy (#101), horror-thriller (#34), manga (#43)",read,,,,1,0
3586999,"Berserk, Vol. 25",Kentaro Miura,"Miura, Kentaro",,1593079214,9781590000000.00,5,4.61,Dark Horse Manga,Paperback,224,2008,2003,24/09/2023,23/09/2023,"fantasy, horror-thriller, manga","fantasy (#100), horror-thriller (#33), manga (#42)",read,,,,1,0
2901744,"Berserk, Vol. 24",Kentaro Miura,"Miura, Kentaro",,159307865X,9781590000000.00,5,4.59,Dark Horse Manga,Paperback,204,2008,2002,24/09/2023,23/09/2023,"fantasy, horror-thriller, manga","fantasy (#99), horror-thriller (#32), manga (#41)",read,,,,1,0
2571937,"Berserk, Vol. 23",Kentaro Miura,"Miura, Kentaro",,1593078641,9781590000000.00,5,4.6,Dark Horse Manga,Paperback,208,2008,2002,23/09/2023,23/09/2023,"fantasy, manga, horror-thriller","fantasy (#98), manga (#40), horror-thriller (#31)",read,,,,1,0
327335,As Intermitências da Morte,José Saramago,"Saramago, José",,9722117386,9789720000000.00,0,4,Editorial Caminho,Paperback,214,2005,2005,,21/08/2023,to-read,to-read (#173),to-read,,,,0,0
